Employment Supports Performance Outcome System Provider Report for Metro -- 2018
Number Participating by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,#in Individual Competitive Employment,# in Group Integrated Employment, # in Self Employment,# in Job Search, # in Other Day Support and Wrap Around Activities,% inIndividual Competitive Employment,%$ in Group Integrated Employment,% in Self Employment, % in Job Search, % in Other Day Support and Wrap-around Activities 
"Advocates Inc.","44","1","43","0","0","7","30","97.7","0.0","0.0","15.9","68.2"
"Alternatives Unlimited","13","4","7","10","0","11","1","53.8","76.9","0.0","84.6","7.7"
"Amego Inc.","29","0","2","22","0","29","29","6.9","75.9","0.0","100.0","100.0"
"American Training","1","0","0","0","0","1","1","0.0","0.0","0.0","100.0","100.0"
"Attleboro Enterprises","4","0","0","4","0","1","2","0.0","100.0","0.0","25.0","50.0"
"Autism Services Association","52","4","14","45","0","5","52","26.9","86.5","0.0","9.6","100.0"
"Barry L Price Rehab Center","31","0","28","0","0","4","25","90.3","0.0","0.0","12.9","80.6"
"Behavioral Associates Of Mass","2","0","0","2","0","1","0","0.0","100.0","0.0","50.0","0.0"
"Berkshire Hills Music Academy","5","1","2","2","0","5","5","40.0","40.0","0.0","100.0","100.0"
"Best Buddies Jobs","14","3","14","0","0","5","5","100.0","0.0","0.0","35.7","35.7"
"Boston College","18","3","18","0","0","0","1","100.0","0.0","0.0","0.0","5.6"
"Bridgewell Inc.","3","0","0","3","0","3","3","0.0","100.0","0.0","100.0","100.0"
"Cardinal Cushing Centers","7","0","3","5","0","6","7","42.9","71.4","0.0","85.7","100.0"
"Center House /Bay Cove Human Services","14","3","11","0","0","1","10","78.6","0.0","0.0","7.1","71.4"
"Community Work Services","28","2","11","18","0","13","25","39.3","64.3","0.0","46.4","89.3"
"Dr Franklin Perkins School","2","0","0","2","0","2","1","0.0","100.0","0.0","100.0","50.0"
"Eliot Community Human Service","2","0","1","2","0","2","2","50.0","100.0","0.0","100.0","100.0"
"Greater Waltham ARC/ Opportunities for Inclusion","30","0","0","30","0","0","1","0.0","100.0","0.0","0.0","3.3"
"Horace Mann Educational Associates","22","0","2","17","0","21","22","9.1","77.3","0.0","95.5","100.0"
"Justice Resource Institute","71","0","8","18","0","17","63","11.3","25.4","0.0","23.9","88.7"
"Lifeworks","237","13","85","153","0","84","195","35.9","64.6","0.0","35.4","82.3"
"MAB Community Services, Inc.","32","0","4","0","0","3","32","12.5","0.0","0.0","9.4","100.0"
"Minute Man Arc","5","0","0","5","0","3","4","0.0","100.0","0.0","60.0","80.0"
"Morgan Memorial Goodwill","89","4","29","47","0","39","43","32.6","52.8","0.0","43.8","48.3"
"New England Center for Children, Inc.","7","1","4","2","0","0","4","57.1","28.6","0.0","0.0","57.1"
"New England Village","1","0","0","1","0","0","1","0.0","100.0","0.0","0.0","100.0"
"Northeast ARC/ Heritage Industries","3","0","0","3","0","0","2","0.0","100.0","0.0","0.0","66.7"
"Regional Employment Services","2","0","0","2","0","0","0","0.0","100.0","0.0","0.0","0.0"
"Road To Responsibility","11","0","1","5","0","0","11","9.1","45.5","0.0","0.0","100.0"
"Seven Hills Family Services","22","0","6","2","0","0","17","27.3","9.1","0.0","0.0","77.3"
"The Arc of East Middlesex","2","1","2","1","0","2","2","100.0","50.0","0.0","100.0","100.0"
"The Charles River Center/ Charles River ARC","162","5","28","53","0","140","2","17.3","32.7","0.0","86.4","1.2"
"TILL","8","0","1","7","0","2","8","12.5","87.5","0.0","25.0","100.0"
"Triangle Inc.","37","1","5","18","0","14","36","13.5","48.6","0.0","37.8","97.3"
"Viability","13","1","10","0","0","3","8","76.9","0.0","0.0","23.1","61.5"
"Vinfen Employment Training Center","22","2","6","16","0","22","0","27.3","72.7","0.0","100.0","0.0"
"Vinfen Gateway Arts","51","0","0","51","0","0","0","0.0","100.0","0.0","0.0","0.0"
"Vocational Advancement","8","0","0","8","0","5","5","0.0","100.0","0.0","62.5","62.5"
"Walnut Street Center","36","0","0","10","0","36","36","0.0","27.8","0.0","100.0","100.0"
"Waltham Committee Inc.","11","2","5","8","0","10","7","45.5","72.7","0.0","90.9","63.6"
"Work Inc.","146","11","43","39","0","39","93","29.5","26.7","0.0","26.7","63.7"
"Work Opportunities Unlimited","60","10","50","0","1","21","8","83.3","0.0","1.7","35.0","13.3"
"Metro","1357","72","443","611","1","557","799","32.6","45.0","0.1","41.0","58.9"
"State","6459","344","2302","2748","12","2783","4300","35.6","42.5","0.2","43.1","66.6"


Subtotals for Job Search and Wrap-around Activities
"","Total Served (unduplicated count)",Number Participating in job search activities,Discovery or career planning, Job Development,Day and Wrap-Around (total),Community based day services,Day habilitiation program, Other day support services
"Advocates Inc.","44","7","6","2","30","23","27","0"
"Alternatives Unlimited","13","11","11","11","1","1","0","0"
"Amego Inc.","29","29","29","29","29","29","0","0"
"American Training","1","1","1","1","1","1","0","0"
"Attleboro Enterprises","4","1","1","1","2","1","2","0"
"Autism Services Association","52","5","5","5","52","52","7","0"
"Barry L Price Rehab Center","31","4","4","4","25","25","0","0"
"Behavioral Associates Of Mass","2","1","1","1","0","0","0","0"
"Berkshire Hills Music Academy","5","5","4","5","5","5","0","0"
"Best Buddies Jobs","14","5","4","4","5","1","0","4"
"Boston College","18","0","0","0","1","1","1","0"
"Bridgewell Inc.","3","3","3","3","3","3","3","0"
"Cardinal Cushing Centers","7","6","6","3","7","7","2","0"
"Center House /Bay Cove Human Services","14","1","1","1","10","10","0","0"
"Community Work Services","28","13","12","4","25","15","0","11"
"Dr Franklin Perkins School","2","2","2","2","1","0","0","1"
"Eliot Community Human Service","2","2","2","2","2","2","0","0"
"Greater Waltham ARC/ Opportunities for Inclusion","30","0","0","0","1","1","0","0"
"Horace Mann Educational Associates","22","21","21","17","22","22","1","0"
"Justice Resource Institute","71","17","9","17","63","63","8","0"
"Lifeworks","237","84","0","84","195","195","0","0"
"MAB Community Services, Inc.","32","3","3","3","32","32","5","3"
"Minute Man Arc","5","3","3","0","4","4","0","0"
"Morgan Memorial Goodwill","89","39","38","37","43","31","9","5"
"New England Center for Children, Inc.","7","0","0","0","4","0","0","4"
"New England Village","1","0","0","0","1","1","0","0"
"Northeast ARC/ Heritage Industries","3","0","0","0","2","2","0","0"
"Regional Employment Services","2","0","0","0","0","0","0","0"
"Road To Responsibility","11","0","0","0","11","11","0","0"
"Seven Hills Family Services","22","0","0","0","17","17","0","0"
"The Arc of East Middlesex","2","2","1","2","2","2","2","0"
"The Charles River Center/ Charles River ARC","162","140","76","131","2","1","2","0"
"TILL","8","2","2","2","8","8","0","0"
"Triangle Inc.","37","14","10","10","36","36","0","0"
"Viability","13","3","0","3","8","8","0","0"
"Vinfen Employment Training Center","22","22","22","22","0","0","0","0"
"Vinfen Gateway Arts","51","0","0","0","0","0","0","0"
"Vocational Advancement","8","5","5","5","5","5","0","0"
"Walnut Street Center","36","36","36","36","36","36","7","0"
"Waltham Committee Inc.","11","10","10","10","7","7","0","0"
"Work Inc.","146","39","35","39","93","92","2","1"
"Work Opportunities Unlimited","60","21","15","19","8","7","1","0"
"Metro","1357","557","378","515","799","757","79","29"
"State","6459","2783","2326","2382","4300","3814","862","224"


Hours of Participation by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean hours -- individual competitive employment,Mean hours --group integrated employment, % of hours in activity -- individual competitive employment, % of hours in activity -- group integrated employment
"Advocates Inc.","44","1","26.33","","100.0","0.0"
"Alternatives Unlimited","13","4","50.64","16.10","68.8","31.2"
"Amego Inc.","29","0","11.15","10.31","9.0","91.0"
"American Training","1","0","","","0","0"
"Attleboro Enterprises","4","0","","32.19","0.0","100.0"
"Autism Services Association","52","4","29.49","17.50","34.4","65.6"
"Barry L Price Rehab Center","31","0","47.79","","100.0","0.0"
"Behavioral Associates Of Mass","2","0","","35.00","0.0","100.0"
"Berkshire Hills Music Academy","5","1","17.50","8.00","68.6","31.4"
"Best Buddies Jobs","14","3","76.86","","100.0","0.0"
"Boston College","18","3","95.97","","100.0","0.0"
"Bridgewell Inc.","3","0","","13.92","0.0","100.0"
"Cardinal Cushing Centers","7","0","16.50","9.00","52.4","47.6"
"Center House /Bay Cove Human Services","14","3","52.92","","100.0","0.0"
"Community Work Services","28","2","95.82","30.36","65.9","34.1"
"Dr Franklin Perkins School","2","0","","17.00","0.0","100.0"
"Eliot Community Human Service","2","0","16.00","5.75","58.2","41.8"
"Greater Waltham ARC/ Opportunities for Inclusion","30","0","","87.93","0.0","100.0"
"Horace Mann Educational Associates","22","0","62.00","27.69","20.8","79.2"
"Justice Resource Institute","71","0","52.00","49.67","31.8","68.2"
"Lifeworks","237","13","57.07","22.05","59.0","41.0"
"MAB Community Services, Inc.","32","0","41.00","","100.0","0.0"
"Minute Man Arc","5","0","","49.29","0.0","100.0"
"Morgan Memorial Goodwill","89","4","90.48","66.11","45.8","54.2"
"New England Center for Children, Inc.","7","1","97.05","16.00","92.4","7.6"
"New England Village","1","0","","105.00","0.0","100.0"
"Northeast ARC/ Heritage Industries","3","0","","48.00","0.0","100.0"
"Regional Employment Services","2","0","","27.50","0.0","100.0"
"Road To Responsibility","11","0","68.00","12.40","52.3","47.7"
"Seven Hills Family Services","22","0","71.75","67.75","76.1","23.9"
"The Arc of East Middlesex","2","1","44.00","8.00","91.7","8.3"
"The Charles River Center/ Charles River ARC","162","5","49.20","11.40","69.5","30.5"
"TILL","8","0","27.00","37.14","9.4","90.6"
"Triangle Inc.","37","1","53.60","26.03","36.4","63.6"
"Viability","13","1","48.00","","100.0","0.0"
"Vinfen Employment Training Center","22","2","38.88","8.02","64.5","35.5"
"Vinfen Gateway Arts","51","0","","96.94","0.0","100.0"
"Vocational Advancement","8","0","","53.81","0.0","100.0"
"Walnut Street Center","36","0","","42.00","0.0","100.0"
"Waltham Committee Inc.","11","2","65.90","11.06","78.8","21.2"
"Work Inc.","146","11","70.40","116.65","40.0","60.0"
"Work Opportunities Unlimited","60","10","55.42","","99.8","0.0"
"Metro","1357","72","57.49","41.30","50.2","49.8"
"State","6459","344","48.24","35.40","53.2","46.6"


Monthly Wages
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean wages -- individual competitive employment,Mean wages --group integrated employment, % earning above minimum wage -- individual competitive employment, % earning above minimum wage -- group integrated employment
"Advocates Inc.","44","1","305.44","","100.0","0"
"Alternatives Unlimited","13","4","557.07","177.65","100.0","100.0"
"Amego Inc.","29","0","148.30","113.38","100.0","100.0"
"American Training","1","0","","","0","0"
"Attleboro Enterprises","4","0","","354.06","0","100.0"
"Autism Services Association","52","4","339.32","73.82","92.9","6.7"
"Barry L Price Rehab Center","31","0","564.54","","100.0","0"
"Behavioral Associates Of Mass","2","0","","720.00","0","100.0"
"Berkshire Hills Music Academy","5","1","235.50","124.00","100.0","100.0"
"Best Buddies Jobs","14","3","989.01","","100.0","0"
"Boston College","18","3","1073.26","","100.0","0"
"Bridgewell Inc.","3","0","","153.08","0","100.0"
"Cardinal Cushing Centers","7","0","187.02","99.00","100.0","100.0"
"Center House /Bay Cove Human Services","14","3","649.32","","90.9","0"
"Community Work Services","28","2","1474.63","333.97","100.0","100.0"
"Dr Franklin Perkins School","2","0","","187.00","0","100.0"
"Eliot Community Human Service","2","0","179.00","63.25","100.0","100.0"
"Greater Waltham ARC/ Opportunities for Inclusion","30","0","","968.25","0","100.0"
"Horace Mann Educational Associates","22","0","702.00","135.31","100.0","58.8"
"Justice Resource Institute","71","0","658.00","546.33","100.0","100.0"
"Lifeworks","237","13","688.76","172.67","95.3","59.5"
"MAB Community Services, Inc.","32","0","451.00","","100.0","0"
"Minute Man Arc","5","0","","548.19","0","100.0"
"Morgan Memorial Goodwill","89","4","1183.85","653.56","100.0","66.0"
"New England Center for Children, Inc.","7","1","1406.51","176.00","100.0","100.0"
"New England Village","1","0","","1155.00","0","100.0"
"Northeast ARC/ Heritage Industries","3","0","","374.30","0","33.3"
"Regional Employment Services","2","0","","257.30","0","50.0"
"Road To Responsibility","11","0","765.20","137.02","100.0","100.0"
"Seven Hills Family Services","22","0","1013.47","745.25","100.0","100.0"
"The Arc of East Middlesex","2","1","513.00","88.00","100.0","100.0"
"The Charles River Center/ Charles River ARC","162","5","568.88","53.13","89.3","49.1"
"TILL","8","0","297.00","439.00","100.0","100.0"
"Triangle Inc.","37","1","598.20","286.31","100.0","100.0"
"Viability","13","1","532.30","","100.0","0"
"Vinfen Employment Training Center","22","2","550.50","88.17","100.0","100.0"
"Vinfen Gateway Arts","51","0","","21.24","0","0.0"
"Vocational Advancement","8","0","","591.94","0","100.0"
"Walnut Street Center","36","0","","462.00","0","100.0"
"Waltham Committee Inc.","11","2","751.85","121.69","100.0","100.0"
"Work Inc.","146","11","810.93","1641.14","100.0","100.0"
"Work Opportunities Unlimited","60","10","634.26","","100.0","0"
"Metro","1357","72","696.75","347.79","98.0","66.0"
"State","6459","344","570.22","320.27","97.5","71.5"


Self Employment Averages for a Three Month Period
"","Total Served (unduplicated count)",Number of individs. in self employment,Mean hours in self employment, Mean self employment earnings, Mean self employment expenses,Mean net self employment earnings
"Advocates Inc.","44","0","","","",""
"Alternatives Unlimited","13","0","","","",""
"Amego Inc.","29","0","","","",""
"American Training","1","0","","","",""
"Attleboro Enterprises","4","0","","","",""
"Autism Services Association","52","0","","","",""
"Barry L Price Rehab Center","31","0","","","",""
"Behavioral Associates Of Mass","2","0","","","",""
"Berkshire Hills Music Academy","5","0","","","",""
"Best Buddies Jobs","14","0","","","",""
"Boston College","18","0","","","",""
"Bridgewell Inc.","3","0","","","",""
"Cardinal Cushing Centers","7","0","","","",""
"Center House /Bay Cove Human Services","14","0","","","",""
"Community Work Services","28","0","","","",""
"Dr Franklin Perkins School","2","0","","","",""
"Eliot Community Human Service","2","0","","","",""
"Greater Waltham ARC/ Opportunities for Inclusion","30","0","","","",""
"Horace Mann Educational Associates","22","0","","","",""
"Justice Resource Institute","71","0","","","",""
"Lifeworks","237","0","","","",""
"MAB Community Services, Inc.","32","0","","","",""
"Minute Man Arc","5","0","","","",""
"Morgan Memorial Goodwill","89","0","","","",""
"New England Center for Children, Inc.","7","0","","","",""
"New England Village","1","0","","","",""
"Northeast ARC/ Heritage Industries","3","0","","","",""
"Regional Employment Services","2","0","","","",""
"Road To Responsibility","11","0","","","",""
"Seven Hills Family Services","22","0","","","",""
"The Arc of East Middlesex","2","0","","","",""
"The Charles River Center/ Charles River ARC","162","0","","","",""
"TILL","8","0","","","",""
"Triangle Inc.","37","0","","","",""
"Viability","13","0","","","",""
"Vinfen Employment Training Center","22","0","","","",""
"Vinfen Gateway Arts","51","0","","","",""
"Vocational Advancement","8","0","","","",""
"Walnut Street Center","36","0","","","",""
