Employment Supports Performance Outcome System Provider Report for North East -- 2018
Number Participating by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,#in Individual Competitive Employment,# in Group Integrated Employment, # in Self Employment,# in Job Search, # in Other Day Support and Wrap Around Activities,% inIndividual Competitive Employment,%$ in Group Integrated Employment,% in Self Employment, % in Job Search, % in Other Day Support and Wrap-around Activities 
"Amego Inc.","1","0","0","1","0","1","1","0.0","100.0","0.0","100.0","100.0"
"American Training","231","3","36","28","0","198","230","15.6","12.1","0.0","85.7","99.6"
"Autism Services Association","3","0","2","1","0","0","3","66.7","33.3","0.0","0.0","100.0"
"Best Buddies Jobs","3","0","3","0","0","0","0","100.0","0.0","0.0","0.0","0.0"
"Bridgewell Inc.","70","1","8","59","0","70","67","11.4","84.3","0.0","100.0","95.7"
"Cardinal Cushing Centers","4","0","2","2","0","2","2","50.0","50.0","0.0","50.0","50.0"
"Career Resources Corporation","30","6","25","4","2","18","26","83.3","13.3","6.7","60.0","86.7"
"Center House /Bay Cove Human Services","1","1","1","0","0","0","1","100.0","0.0","0.0","0.0","100.0"
"CLASS Inc.","55","5","13","28","0","11","51","23.6","50.9","0.0","20.0","92.7"
"Collaborative for Regional Educational Services","27","1","3","25","0","5","1","11.1","92.6","0.0","18.5","3.7"
"Community Work Services","4","0","0","4","0","2","1","0.0","100.0","0.0","50.0","25.0"
"Dr Franklin Perkins School","2","0","0","2","0","1","2","0.0","100.0","0.0","50.0","100.0"
"Eliot Community Human Service","12","1","11","6","0","12","9","91.7","50.0","0.0","100.0","75.0"
"Greater Newburyport Opportunities","76","1","30","15","0","51","70","39.5","19.7","0.0","67.1","92.1"
"Greater Waltham ARC/ Opportunities for Inclusion","1","0","0","1","0","0","1","0.0","100.0","0.0","0.0","100.0"
"Justice Resource Institute","3","0","2","0","0","0","3","66.7","0.0","0.0","0.0","100.0"
"Minute Man Arc","66","2","23","49","1","28","60","34.8","74.2","1.5","42.4","90.9"
"Morgan Memorial Goodwill","48","4","16","19","0","7","25","33.3","39.6","0.0","14.6","52.1"
"Northeast ARC/ Heritage Industries","110","16","43","61","0","10","72","39.1","55.5","0.0","9.1","65.5"
"Nupath","53","1","17","33","0","50","49","32.1","62.3","0.0","94.3","92.5"
"Plus Company","69","0","35","28","0","66","66","50.7","40.6","0.0","95.7","95.7"
"Regional Employment Services","1","0","0","1","0","0","0","0.0","100.0","0.0","0.0","0.0"
"Seven Hills Family Services","1","0","0","0","0","0","1","0.0","0.0","0.0","0.0","100.0"
"The Arc of East Middlesex","73","6","39","38","0","42","67","53.4","52.1","0.0","57.5","91.8"
"The Charles River Center/ Charles River ARC","2","0","0","0","0","2","0","0.0","0.0","0.0","100.0","0.0"
"Triangle Inc.","115","13","29","73","0","55","108","25.2","63.5","0.0","47.8","93.9"
"Valley Collaborative","83","5","17","72","0","72","79","20.5","86.7","0.0","86.7","95.2"
"Viability","112","19","91","0","0","25","18","81.3","0.0","0.0","22.3","16.1"
"Vinfen Gateway Arts","9","0","0","9","0","0","0","0.0","100.0","0.0","0.0","0.0"
"Walnut Street Center","5","0","0","1","0","5","5","0.0","20.0","0.0","100.0","100.0"
"Waltham Committee Inc.","1","0","1","0","0","1","1","100.0","0.0","0.0","100.0","100.0"
"Work Inc.","2","0","2","0","0","0","1","100.0","0.0","0.0","0.0","50.0"
"Work Opportunities Unlimited","99","11","72","0","1","46","16","72.7","0.0","1.0","46.5","16.2"
"North East","1372","96","521","560","4","780","1036","38.0","40.8","0.3","56.9","75.5"
"State","6459","344","2302","2748","12","2783","4300","35.6","42.5","0.2","43.1","66.6"


Subtotals for Job Search and Wrap-around Activities
"","Total Served (unduplicated count)",Number Participating in job search activities,Discovery or career planning, Job Development,Day and Wrap-Around (total),Community based day services,Day habilitiation program, Other day support services
"Amego Inc.","1","1","1","1","1","1","0","0"
"American Training","231","198","198","153","230","215","127","3"
"Autism Services Association","3","0","0","0","3","3","0","0"
"Best Buddies Jobs","3","0","0","0","0","0","0","0"
"Bridgewell Inc.","70","70","70","70","67","40","64","0"
"Cardinal Cushing Centers","4","2","2","2","2","2","0","0"
"Career Resources Corporation","30","18","18","17","26","23","5","0"
"Center House /Bay Cove Human Services","1","0","0","0","1","1","0","0"
"CLASS Inc.","55","11","11","11","51","50","19","8"
"Collaborative for Regional Educational Services","27","5","5","4","1","1","0","0"
"Community Work Services","4","2","2","1","1","1","0","0"
"Dr Franklin Perkins School","2","1","1","1","2","1","1","2"
"Eliot Community Human Service","12","12","12","12","9","9","0","0"
"Greater Newburyport Opportunities","76","51","51","51","70","66","3","4"
"Greater Waltham ARC/ Opportunities for Inclusion","1","0","0","0","1","1","0","0"
"Justice Resource Institute","3","0","0","0","3","3","1","0"
"Minute Man Arc","66","28","26","6","60","51","3","22"
"Morgan Memorial Goodwill","48","7","7","5","25","22","2","1"
"Northeast ARC/ Heritage Industries","110","10","5","10","72","66","10","0"
"Nupath","53","50","50","50","49","48","21","6"
"Plus Company","69","66","65","66","66","66","0","0"
"Regional Employment Services","1","0","0","0","0","0","0","0"
"Seven Hills Family Services","1","0","0","0","1","1","0","0"
"The Arc of East Middlesex","73","42","23","42","67","58","57","1"
"The Charles River Center/ Charles River ARC","2","2","1","2","0","0","0","0"
"Triangle Inc.","115","55","36","43","108","107","0","17"
"Valley Collaborative","83","72","70","11","79","79","0","0"
"Viability","112","25","2","23","18","3","16","0"
"Vinfen Gateway Arts","9","0","0","0","0","0","0","0"
"Walnut Street Center","5","5","5","5","5","5","3","0"
"Waltham Committee Inc.","1","1","1","1","1","1","0","0"
"Work Inc.","2","0","0","0","1","0","0","1"
"Work Opportunities Unlimited","99","46","33","43","16","14","2","1"
"North East","1372","780","695","630","1036","938","334","66"
"State","6459","2783","2326","2382","4300","3814","862","224"


Hours of Participation by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean hours -- individual competitive employment,Mean hours --group integrated employment, % of hours in activity -- individual competitive employment, % of hours in activity -- group integrated employment
"Amego Inc.","1","0","","19.00","0.0","100.0"
"American Training","231","3","35.21","14.88","75.3","24.7"
"Autism Services Association","3","0","49.40","16.00","86.1","13.9"
"Best Buddies Jobs","3","0","126.67","","100.0","0.0"
"Bridgewell Inc.","70","1","48.39","11.57","36.2","63.8"
"Cardinal Cushing Centers","4","0","74.00","3.62","95.3","4.7"
"Career Resources Corporation","30","6","36.96","19.75","90.3","7.7"
"Center House /Bay Cove Human Services","1","1","29.50","","100.0","0.0"
"CLASS Inc.","55","5","60.27","11.75","70.4","29.6"
"Collaborative for Regional Educational Services","27","1","48.03","89.27","6.1","93.9"
"Community Work Services","4","0","","53.50","0.0","100.0"
"Dr Franklin Perkins School","2","0","","7.50","0.0","100.0"
"Eliot Community Human Service","12","1","29.27","6.92","88.6","11.4"
"Greater Newburyport Opportunities","76","1","41.02","33.27","71.1","28.9"
"Greater Waltham ARC/ Opportunities for Inclusion","1","0","","37.50","0.0","100.0"
"Justice Resource Institute","3","0","60.00","","100.0","0.0"
"Minute Man Arc","66","2","58.67","28.48","49.1","50.8"
"Morgan Memorial Goodwill","48","4","58.75","36.28","57.7","42.3"
"Northeast ARC/ Heritage Industries","110","16","50.87","36.53","49.5","50.5"
"Nupath","53","1","60.12","39.36","44.0","56.0"
"Plus Company","69","0","43.29","13.05","80.6","19.4"
"Regional Employment Services","1","0","","42.50","0.0","100.0"
"Seven Hills Family Services","1","0","","","0","0"
"The Arc of East Middlesex","73","6","28.72","16.32","64.4","35.6"
"The Charles River Center/ Charles River ARC","2","0","","","0","0"
"Triangle Inc.","115","13","58.10","33.35","40.9","59.1"
"Valley Collaborative","83","5","52.52","23.87","34.2","65.8"
"Viability","112","19","54.94","","100.0","0.0"
"Vinfen Gateway Arts","9","0","","87.67","0.0","100.0"
"Walnut Street Center","5","0","","50.00","0.0","100.0"
"Waltham Committee Inc.","1","0","32.00","","100.0","0.0"
"Work Inc.","2","0","42.00","","100.0","0.0"
"Work Opportunities Unlimited","99","11","49.63","","99.9","0.0"
"North East","1372","96","48.44","28.96","60.8","39.1"
"State","6459","344","48.24","35.40","53.2","46.6"


Monthly Wages
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean wages -- individual competitive employment,Mean wages --group integrated employment, % earning above minimum wage -- individual competitive employment, % earning above minimum wage -- group integrated employment
"Amego Inc.","1","0","","209.00","0","100.0"
"American Training","231","3","357.06","105.48","88.9","78.6"
"Autism Services Association","3","0","561.52","176.82","100.0","100.0"
"Best Buddies Jobs","3","0","1686.13","","100.0","0"
"Bridgewell Inc.","70","1","608.25","127.24","100.0","100.0"
"Cardinal Cushing Centers","4","0","822.80","39.88","100.0","100.0"
"Career Resources Corporation","30","6","406.56","217.25","100.0","100.0"
"Center House /Bay Cove Human Services","1","1","349.07","","100.0","0"
"CLASS Inc.","55","5","710.58","66.92","100.0","3.6"
"Collaborative for Regional Educational Services","27","1","528.33","982.01","66.7","96.0"
"Community Work Services","4","0","","624.19","0","100.0"
"Dr Franklin Perkins School","2","0","","214.50","0","100.0"
"Eliot Community Human Service","12","1","369.79","76.08","100.0","100.0"
"Greater Newburyport Opportunities","76","1","459.85","365.93","93.3","100.0"
"Greater Waltham ARC/ Opportunities for Inclusion","1","0","","412.89","0","100.0"
"Justice Resource Institute","3","0","930.00","","100.0","0"
"Minute Man Arc","66","2","848.36","314.09","100.0","100.0"
"Morgan Memorial Goodwill","48","4","654.88","384.60","100.0","84.2"
"Northeast ARC/ Heritage Industries","110","16","579.44","228.09","95.3","34.4"
"Nupath","53","1","692.47","433.00","100.0","100.0"
"Plus Company","69","0","502.29","121.07","85.7","35.7"
"Regional Employment Services","1","0","","467.50","0","100.0"
"Seven Hills Family Services","1","0","","","0","0"
"The Arc of East Middlesex","73","6","349.24","179.50","97.4","100.0"
"The Charles River Center/ Charles River ARC","2","0","","","0","0"
"Triangle Inc.","115","13","642.38","366.84","100.0","100.0"
"Valley Collaborative","83","5","630.79","262.66","100.0","100.0"
"Viability","112","19","641.06","","100.0","0"
"Vinfen Gateway Arts","9","0","","15.39","0","0.0"
"Walnut Street Center","5","0","","550.00","0","100.0"
"Waltham Committee Inc.","1","0","457.51","","100.0","0"
"Work Inc.","2","0","462.00","","100.0","0"
"Work Opportunities Unlimited","99","11","589.84","","91.7","0"
"North East","1372","96","568.18","277.61","96.0","81.4"
"State","6459","344","570.22","320.27","97.5","71.5"


Self Employment Averages for a Three Month Period
"","Total Served (unduplicated count)",Number of individs. in self employment,Mean hours in self employment, Mean self employment earnings, Mean self employment expenses,Mean net self employment earnings
"Amego Inc.","1","0","","","",""
"American Training","231","0","","","",""
"Autism Services Association","3","0","","","",""
"Best Buddies Jobs","3","0","","","",""
"Bridgewell Inc.","70","0","","","",""
"Cardinal Cushing Centers","4","0","","","",""
"Career Resources Corporation","30","2","10.00","100.00","50.00","50.00"
"Center House /Bay Cove Human Services","1","0","","","",""
"CLASS Inc.","55","0","","","",""
"Collaborative for Regional Educational Services","27","0","","","",""
"Community Work Services","4","0","","","",""
"Dr Franklin Perkins School","2","0","","","",""
"Eliot Community Human Service","12","0","","","",""
"Greater Newburyport Opportunities","76","0","","","",""
"Greater Waltham ARC/ Opportunities for Inclusion","1","0","","","",""
"Justice Resource Institute","3","0","","","",""
"Minute Man Arc","66","1","2.00","60.00","","60.00"
"Morgan Memorial Goodwill","48","0","","","",""
"Northeast ARC/ Heritage Industries","110","0","","","",""
"Nupath","53","0","","","",""
"Plus Company","69","0","","","",""
"Regional Employment Services","1","0","","","",""
"Seven Hills Family Services","1","0","","","",""
"The Arc of East Middlesex","73","0","","","",""
"The Charles River Center/ Charles River ARC","2","0","","","",""
"Triangle Inc.","115","0","","","",""
"Valley Collaborative","83","0","","","",""
"Viability","112","0","","","",""
"Vinfen Gateway Arts","9","0","","","",""
"Walnut Street Center","5","0","","","",""
"Waltham Committee Inc.","1","0","","","",""
"Work Inc.","2","0","","","",""
