Employment Supports Performance Outcome System Provider Report for South East -- 2018
Number Participating by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,#in Individual Competitive Employment,# in Group Integrated Employment, # in Self Employment,# in Job Search, # in Other Day Support and Wrap Around Activities,% inIndividual Competitive Employment,%$ in Group Integrated Employment,% in Self Employment, % in Job Search, % in Other Day Support and Wrap-around Activities 
"Brockton Area Arc","67","4","14","44","0","36","62","20.9","65.7","0.0","53.7","92.5"
"South East","1537","99","731","506","3","718","1140","47.6","32.9","0.2","46.7","74.2"
"State","6459","344","2302","2748","12","2783","4300","35.6","42.5","0.2","43.1","66.6"


Subtotals for Job Search and Wrap-around Activities
"","Total Served (unduplicated count)",Number Participating in job search activities,Discovery or career planning, Job Development,Day and Wrap-Around (total),Community based day services,Day habilitiation program, Other day support services
"Brockton Area Arc","67","36","34","22","62","58","2","4"
"South East","1537","718","632","601","1140","935","305","59"
"State","6459","2783","2326","2382","4300","3814","862","224"


Hours of Participation by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean hours -- individual competitive employment,Mean hours --group integrated employment, % of hours in activity -- individual competitive employment, % of hours in activity -- group integrated employment
"Brockton Area Arc","67","4","41.43","31.01","29.8","70.2"
"South East","1537","99","40.08","25.72","69.1","30.7"
"State","6459","344","48.24","35.40","53.2","46.6"


Monthly Wages
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean wages -- individual competitive employment,Mean wages --group integrated employment, % earning above minimum wage -- individual competitive employment, % earning above minimum wage -- group integrated employment
"Brockton Area Arc","67","4","551.37","341.99","100.0","100.0"
"South East","1537","99","467.87","268.52","98.4","93.5"
"State","6459","344","570.22","320.27","97.5","71.5"


Self Employment Averages for a Three Month Period
"","Total Served (unduplicated count)",Number of individs. in self employment,Mean hours in self employment, Mean self employment earnings, Mean self employment expenses,Mean net self employment earnings
"Brockton Area Arc","67","0","","","",""
"South East","1537","3","19.33","1694.28","814.02","997.19"
"State","6459","12","40.50","1337.45","1114.16","473.52"
