Employment Supports Performance Outcome System Provider Report for Central West -- 2018
Number Participating by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,#in Individual Competitive Employment,# in Group Integrated Employment, # in Self Employment,# in Job Search, # in Other Day Support and Wrap Around Activities,% inIndividual Competitive Employment,%$ in Group Integrated Employment,% in Self Employment, % in Job Search, % in Other Day Support and Wrap-around Activities 
"The Arc of Opportunity","46","0","7","38","0","16","40","15.2","82.6","0.0","34.8","87.0"
"Central West","2193","77","607","1071","4","728","1325","27.7","48.8","0.2","33.2","60.4"
"State","6459","344","2302","2748","12","2783","4300","35.6","42.5","0.2","43.1","66.6"


Subtotals for Job Search and Wrap-around Activities
"","Total Served (unduplicated count)",Number Participating in job search activities,Discovery or career planning, Job Development,Day and Wrap-Around (total),Community based day services,Day habilitiation program, Other day support services
"The Arc of Opportunity","46","16","16","16","40","40","0","0"
"Central West","2193","728","621","636","1325","1184","144","70"
"State","6459","2783","2326","2382","4300","3814","862","224"


Hours of Participation by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean hours -- individual competitive employment,Mean hours --group integrated employment, % of hours in activity -- individual competitive employment, % of hours in activity -- group integrated employment
"The Arc of Opportunity","46","0","54.50","39.62","20.2","79.8"
"Central West","2193","77","51.16","39.97","41.8","57.6"
"State","6459","344","48.24","35.40","53.2","46.6"


Monthly Wages
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean wages -- individual competitive employment,Mean wages --group integrated employment, % earning above minimum wage -- individual competitive employment, % earning above minimum wage -- group integrated employment
"The Arc of Opportunity","46","0","655.24","319.11","100.0","23.7"
"Central West","2193","77","602.88","351.33","97.4","59.0"
"State","6459","344","570.22","320.27","97.5","71.5"


Self Employment Averages for a Three Month Period
"","Total Served (unduplicated count)",Number of individs. in self employment,Mean hours in self employment, Mean self employment earnings, Mean self employment expenses,Mean net self employment earnings
"The Arc of Opportunity","46","0","","","",""
"Central West","2193","4","98.75","2627.85","2484.58","764.42"
"State","6459","12","40.50","1337.45","1114.16","473.52"
