Employment Supports Performance Outcome System Provider Report for all -- 2018
Number Participating by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,#in Individual Competitive Employment,# in Group Integrated Employment, # in Self Employment,# in Job Search, # in Other Day Support and Wrap Around Activities,% inIndividual Competitive Employment,%$ in Group Integrated Employment,% in Self Employment, % in Job Search, % in Other Day Support and Wrap-around Activities 
"Aditus Inc.","25","0","16","10","0","11","6","64.0","40.0","0.0","44.0","24.0"
"Advocates Inc.","44","1","43","0","0","7","30","97.7","0.0","0.0","15.9","68.2"
"Alternatives Unlimited","72","5","21","61","0","65","50","29.2","84.7","0.0","90.3","69.4"
"Amego Inc.","38","0","2","29","0","38","38","5.3","76.3","0.0","100.0","100.0"
"American Training","232","3","36","28","0","199","231","15.5","12.1","0.0","85.8","99.6"
"Attleboro Enterprises","61","1","6","54","0","12","22","9.8","88.5","0.0","19.7","36.1"
"Autism Services Association","62","4","17","51","0","5","62","27.4","82.3","0.0","8.1","100.0"
"Barry L Price Rehab Center","33","0","29","0","0","5","27","87.9","0.0","0.0","15.2","81.8"
"Behavioral Associates Of Mass","4","0","0","4","0","1","0","0.0","100.0","0.0","25.0","0.0"
"Berkshire County ARC","120","9","40","76","0","16","32","33.3","63.3","0.0","13.3","26.7"
"Berkshire Family & Indv Resources","46","1","6","39","0","42","14","13.0","84.8","0.0","91.3","30.4"
"Berkshire Hills Music Academy","38","4","14","19","0","37","38","36.8","50.0","0.0","97.4","100.0"
"Best Buddies Jobs","22","3","22","0","0","5","6","100.0","0.0","0.0","22.7","27.3"
"Better Community Living","4","0","4","0","0","1","4","100.0","0.0","0.0","25.0","100.0"
"Boston College","19","3","19","0","0","0","1","100.0","0.0","0.0","0.0","5.3"
"Bridgewell Inc.","73","1","8","62","0","73","70","11.0","84.9","0.0","100.0","95.9"
"Brockton Area Arc","67","4","14","44","0","36","62","20.9","65.7","0.0","53.7","92.5"
"Brockton Area Multi Services","45","0","31","0","0","17","23","68.9","0.0","0.0","37.8","51.1"
"CapeAbilities","91","0","32","60","0","36","78","35.2","65.9","0.0","39.6","85.7"
"Cardinal Cushing Centers","79","6","42","40","0","64","76","53.2","50.6","0.0","81.0","96.2"
"Career Resources Corporation","30","6","25","4","2","18","26","83.3","13.3","6.7","60.0","86.7"
"Catholic Charities  Worcester/ Mercy Centre","64","0","18","44","0","0","20","28.1","68.8","0.0","0.0","31.3"
"Center House /Bay Cove Human Services","15","4","12","0","0","1","11","80.0","0.0","0.0","6.7","73.3"
"Center of Hope Foundation, Inc.","110","0","23","95","0","5","88","20.9","86.4","0.0","4.5","80.0"
"CLASS Inc.","55","5","13","28","0","11","51","23.6","50.9","0.0","20.0","92.7"
"Collaborative for Regional Educational Services","27","1","3","25","0","5","1","11.1","92.6","0.0","18.5","3.7"
"Community Connections","135","11","99","0","1","26","92","73.3","0.0","0.7","19.3","68.1"
"Community Options Inc.","33","0","16","10","2","14","14","48.5","30.3","6.1","42.4","42.4"
"Community Work Services","32","2","11","22","0","15","26","34.4","68.8","0.0","46.9","81.3"
"Cooperative Production","6","1","5","0","1","4","6","83.3","0.0","16.7","66.7","100.0"
"Dr Franklin Perkins School","60","1","5","54","0","37","32","8.3","90.0","0.0","61.7","53.3"
"Eliot Community Human Service","14","1","12","8","0","14","11","85.7","57.1","0.0","100.0","78.6"
"Friendship Home Inc.","54","0","36","0","0","36","53","66.7","0.0","0.0","66.7","98.1"
"GAAMHA Inc","59","3","17","33","0","30","43","28.8","55.9","0.0","50.8","72.9"
"Goodwill Industries-Berkshires","3","0","3","0","0","0","0","100.0","0.0","0.0","0.0","0.0"
"Goodwill Industries-Springfield","77","0","1","71","0","63","65","1.3","92.2","0.0","81.8","84.4"
"Greater Newburyport Opportunities","76","1","30","15","0","51","70","39.5","19.7","0.0","67.1","92.1"
"Greater Waltham ARC/ Opportunities for Inclusion","31","0","0","31","0","0","2","0.0","100.0","0.0","0.0","6.5"
"GROW Associates Inc.","37","3","32","11","0","36","4","86.5","29.7","0.0","97.3","10.8"
"Horace Mann Educational Associates","175","0","31","123","0","166","174","17.7","70.3","0.0","94.9","99.4"
"Institute Of Professional Practice","17","2","10","0","0","8","2","58.8","0.0","0.0","47.1","11.8"
"Justice Resource Institute","82","0","11","22","0","21","73","13.4","26.8","0.0","25.6","89.0"
"Kennedy-Donovan Center","13","4","13","0","0","5","2","100.0","0.0","0.0","38.5","15.4"
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","1","7","40","0","42","43","14.0","80.0","0.0","84.0","86.0"
"LifeStream Inc.","22","4","20","0","0","17","22","90.9","0.0","0.0","77.3","100.0"
"Lifeworks","239","13","85","155","0","85","197","35.6","64.9","0.0","35.6","82.4"
"M.O. L.I.F.E.","35","12","29","0","0","14","31","82.9","0.0","0.0","40.0","88.6"
"MAB Community Services, Inc.","32","0","4","0","0","3","32","12.5","0.0","0.0","9.4","100.0"
"Meridian of Servicenet","86","4","21","56","0","12","25","24.4","65.1","0.0","14.0","29.1"
"Microtek","15","1","15","0","0","0","0","100.0","0.0","0.0","0.0","0.0"
"Minute Man Arc","73","2","24","56","1","32","66","32.9","76.7","1.4","43.8","90.4"
"Morgan Memorial Goodwill","137","8","45","66","0","46","68","32.8","48.2","0.0","33.6","49.6"
"Nemasket Group","37","3","29","0","1","17","30","78.4","0.0","2.7","45.9","81.1"
"New England Business Associates","81","9","61","0","1","26","0","75.3","0.0","1.2","32.1","0.0"
"New England Center for Children, Inc.","7","1","4","2","0","0","4","57.1","28.6","0.0","0.0","57.1"
"New England Village","36","1","15","13","0","15","32","41.7","36.1","0.0","41.7","88.9"
"Northeast ARC/ Heritage Industries","113","16","43","64","0","10","74","38.1","56.6","0.0","8.8","65.5"
"Nupath","53","1","17","33","0","50","49","32.1","62.3","0.0","94.3","92.5"
"People Inc.","111","3","47","66","0","76","89","42.3","59.5","0.0","68.5","80.2"
"Plus Company","69","0","35","28","0","66","66","50.7","40.6","0.0","95.7","95.7"
"PRIDE Inc.","71","3","8","30","0","37","54","11.3","42.3","0.0","52.1","76.1"
"Regional Employment Services","109","10","68","25","0","21","6","62.4","22.9","0.0","19.3","5.5"
"Rehabilitative Resources","4","0","3","0","1","0","1","75.0","0.0","25.0","0.0","25.0"
"Riverside Industries","156","2","14","76","0","11","97","9.0","48.7","0.0","7.1","62.2"
"Road To Responsibility","209","1","37","115","0","6","188","17.7","55.0","0.0","2.9","90.0"
"Seven Hills Family Services","210","1","21","41","0","2","190","10.0","19.5","0.0","1.0","90.5"
"South Shore ARC","14","0","5","7","0","14","14","35.7","50.0","0.0","100.0","100.0"
"Southeastern Massachusetts Educational Collaborative","102","11","102","0","0","43","86","100.0","0.0","0.0","42.2","84.3"
"SUNSHINE VILLAGE","160","2","9","61","0","20","113","5.6","38.1","0.0","12.5","70.6"
"The Arc of East Middlesex","75","7","41","39","0","44","69","54.7","52.0","0.0","58.7","92.0"
"The ARC of Greater Plymouth","68","5","24","17","0","51","64","35.3","25.0","0.0","75.0","94.1"
"The Arc of Opportunity","46","0","7","38","0","16","40","15.2","82.6","0.0","34.8","87.0"
"The Charles River Center/ Charles River ARC","171","5","29","56","0","148","2","17.0","32.7","0.0","86.5","1.2"
"TILL","11","0","1","10","0","2","11","9.1","90.9","0.0","18.2","100.0"
"Triangle Inc.","172","20","45","92","0","88","162","26.2","53.5","0.0","51.2","94.2"
"Valley Collaborative","84","5","17","73","0","73","80","20.2","86.9","0.0","86.9","95.2"
"Valley Educational  Associates","81","0","0","17","0","9","78","0.0","21.0","0.0","11.1","96.3"
"Viability","348","30","183","96","0","72","166","52.6","27.6","0.0","20.7","47.7"
"Vinfen Employment Training Center","22","2","6","16","0","22","0","27.3","72.7","0.0","100.0","0.0"
"Vinfen Gateway Arts","65","0","0","65","0","0","0","0.0","100.0","0.0","0.0","0.0"
"Vocational Advancement","8","0","0","8","0","5","5","0.0","100.0","0.0","62.5","62.5"
"Walnut Street Center","41","0","0","11","0","41","41","0.0","26.8","0.0","100.0","100.0"
"Waltham Committee Inc.","12","2","6","8","0","11","8","50.0","66.7","0.0","91.7","66.7"
"Work Inc.","253","20","93","51","0","75","153","36.8","20.2","0.0","29.6","60.5"
"Work Opportunities Unlimited","299","46","210","1","2","156","40","70.2","0.3","0.7","52.2","13.4"
"Work Opportunity Center, Inc.","92","3","44","43","0","69","68","47.8","46.7","0.0","75.0","73.9"
"State","6459","344","2302","2748","12","2783","4300","35.6","42.5","0.2","43.1","66.6"


Subtotals for Job Search and Wrap-around Activities
"","Total Served (unduplicated count)",Number Participating in job search activities,Discovery or career planning, Job Development,Day and Wrap-Around (total),Community based day services,Day habilitiation program, Other day support services
