Employment Supports Performance Outcome System Provider Report
Number Participating by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,#in Individual Competitive Employment,# in Group Integrated Employment, # in Self Employment,# in Job Search, # in Other Day Support and Wrap Around Activities,% inIndividual Competitive Employment,%$ in Group Integrated Employment,% in Self Employment, % in Job Search, % in Other Day Support and Wrap-around Activities 
"Aditus Inc.","25","0","16","10","0","11","6","64.0","40.0","0.0","44.0","24.0"
"Alternatives Unlimited","56","1","13","48","0","51","49","23.2","85.7","0.0","91.1","87.5"
"Amego Inc.","1","0","0","0","0","1","1","0.0","0.0","0.0","100.0","100.0"
"Autism Services Association","2","0","0","2","0","0","2","0.0","100.0","0.0","0.0","100.0"
"Berkshire County ARC","120","9","40","76","0","16","32","33.3","63.3","0.0","13.3","26.7"
"Berkshire Family & Indv Resources","46","1","6","39","0","42","14","13.0","84.8","0.0","91.3","30.4"
"Berkshire Hills Music Academy","33","3","12","17","0","32","33","36.4","51.5","0.0","97.0","100.0"
"Cardinal Cushing Centers","1","0","1","1","0","1","1","100.0","100.0","0.0","100.0","100.0"
"Catholic Charities  Worcester/ Mercy Centre","64","0","18","44","0","0","20","28.1","68.8","0.0","0.0","31.3"
"Center of Hope Foundation, Inc.","110","0","23","95","0","5","88","20.9","86.4","0.0","4.5","80.0"
"Community Options Inc.","33","0","16","10","2","14","14","48.5","30.3","6.1","42.4","42.4"
"Dr Franklin Perkins School","56","1","5","50","0","34","29","8.9","89.3","0.0","60.7","51.8"
"GAAMHA Inc","59","3","17","33","0","30","43","28.8","55.9","0.0","50.8","72.9"
"Goodwill Industries-Berkshires","3","0","3","0","0","0","0","100.0","0.0","0.0","0.0","0.0"
"Goodwill Industries-Springfield","77","0","1","71","0","63","65","1.3","92.2","0.0","81.8","84.4"
"Horace Mann Educational Associates","117","0","19","79","0","110","116","16.2","67.5","0.0","94.0","99.1"
"Institute Of Professional Practice","17","2","10","0","0","8","2","58.8","0.0","0.0","47.1","11.8"
"Justice Resource Institute","6","0","0","3","0","3","5","0.0","50.0","0.0","50.0","83.3"
"Kennedy-Donovan Center","13","4","13","0","0","5","2","100.0","0.0","0.0","38.5","15.4"
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","1","7","40","0","42","43","14.0","80.0","0.0","84.0","86.0"
"Meridian of Servicenet","86","4","21","56","0","12","25","24.4","65.1","0.0","14.0","29.1"
"Microtek","15","1","15","0","0","0","0","100.0","0.0","0.0","0.0","0.0"
"Minute Man Arc","2","0","1","2","0","1","2","50.0","100.0","0.0","50.0","100.0"
"New England Business Associates","81","9","61","0","1","26","0","75.3","0.0","1.2","32.1","0.0"
"Regional Employment Services","105","10","67","22","0","21","6","63.8","21.0","0.0","20.0","5.7"
"Rehabilitative Resources","4","0","3","0","1","0","1","75.0","0.0","25.0","0.0","25.0"
"Riverside Industries","156","2","14","76","0","11","97","9.0","48.7","0.0","7.1","62.2"
"Seven Hills Family Services","187","1","15","39","0","2","172","8.0","20.9","0.0","1.1","92.0"
"SUNSHINE VILLAGE","160","2","9","61","0","20","113","5.6","38.1","0.0","12.5","70.6"
"The Arc of Opportunity","46","0","7","38","0","16","40","15.2","82.6","0.0","34.8","87.0"
"The Charles River Center/ Charles River ARC","1","0","0","1","0","0","0","0.0","100.0","0.0","0.0","0.0"
"Valley Collaborative","1","0","0","1","0","1","1","0.0","100.0","0.0","100.0","100.0"
"Valley Educational  Associates","81","0","0","17","0","9","78","0.0","21.0","0.0","11.1","96.3"
"Viability","223","10","82","96","0","44","140","36.8","43.0","0.0","19.7","62.8"
"Work Inc.","35","3","26","0","0","14","10","74.3","0.0","0.0","40.0","28.6"
"Work Opportunities Unlimited","29","7","22","1","0","14","7","75.9","3.4","0.0","48.3","24.1"
"Work Opportunity Center, Inc.","92","3","44","43","0","69","68","47.8","46.7","0.0","75.0","73.9"
"Central West","2193","77","607","1071","4","728","1325","27.7","48.8","0.2","33.2","60.4"
"State","6459","344","2302","2748","12","2783","4300","35.6","42.5","0.2","43.1","66.6"


Subtotals for Job Search and Wrap-around Activities
"","Total Served (unduplicated count)",Number Participating in job search activities,Discovery or career planning, Job Development,Day and Wrap-Around (total),Community based day services,Day habilitiation program, Other day support services
"Aditus Inc.","25","11","5","11","6","0","0","6"
"Alternatives Unlimited","56","51","51","51","49","49","0","0"
"Amego Inc.","1","1","1","1","1","1","0","0"
"Autism Services Association","2","0","0","0","2","2","0","0"
"Berkshire County ARC","120","16","8","15","32","18","3","11"
"Berkshire Family & Indv Resources","46","42","41","24","14","14","0","0"
"Berkshire Hills Music Academy","33","32","27","32","33","33","0","1"
"Cardinal Cushing Centers","1","1","1","1","1","1","0","0"
"Catholic Charities  Worcester/ Mercy Centre","64","0","0","0","20","20","1","0"
"Center of Hope Foundation, Inc.","110","5","1","5","88","54","61","0"
"Community Options Inc.","33","14","4","14","14","14","0","1"
"Dr Franklin Perkins School","56","34","34","34","29","4","1","26"
"GAAMHA Inc","59","30","12","30","43","43","0","0"
"Goodwill Industries-Berkshires","3","0","0","0","0","0","0","0"
"Goodwill Industries-Springfield","77","63","63","56","65","65","0","0"
"Horace Mann Educational Associates","117","110","109","89","116","116","8","0"
"Institute Of Professional Practice","17","8","5","8","2","0","1","1"
"Justice Resource Institute","6","3","2","3","5","5","0","0"
"Kennedy-Donovan Center","13","5","4","5","2","2","0","0"
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","42","41","18","43","1","42","0"
"Meridian of Servicenet","86","12","12","8","25","24","0","2"
"Microtek","15","0","0","0","0","0","0","0"
"Minute Man Arc","2","1","1","0","2","2","0","1"
"New England Business Associates","81","26","25","20","0","0","0","0"
"Regional Employment Services","105","21","14","21","6","5","0","1"
"Rehabilitative Resources","4","0","0","0","1","0","1","1"
"Riverside Industries","156","11","10","9","97","94","10","3"
"Seven Hills Family Services","187","2","0","2","172","172","2","5"
"SUNSHINE VILLAGE","160","20","0","20","113","113","0","0"
"The Arc of Opportunity","46","16","16","16","40","40","0","0"
"The Charles River Center/ Charles River ARC","1","0","0","0","0","0","0","0"
"Valley Collaborative","1","1","1","0","1","1","0","0"
"Valley Educational  Associates","81","9","9","9","78","78","0","0"
"Viability","223","44","40","39","140","140","10","0"
"Work Inc.","35","14","7","13","10","1","0","9"
"Work Opportunities Unlimited","29","14","9","14","7","4","4","2"
"Work Opportunity Center, Inc.","92","69","68","68","68","68","0","0"
"Central West","2193","728","621","636","1325","1184","144","70"
"State","6459","2783","2326","2382","4300","3814","862","224"


Hours of Participation by Activity
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean hours -- individual competitive employment,Mean hours --group integrated employment, % of hours in activity -- individual competitive employment, % of hours in activity -- group integrated employment
"Aditus Inc.","25","0","42.31","33.15","67.1","32.9"
"Alternatives Unlimited","56","1","25.82","20.28","25.6","74.4"
"Amego Inc.","1","0","","","0","0"
"Autism Services Association","2","0","","56.50","0.0","100.0"
"Berkshire County ARC","120","9","46.70","58.53","29.6","70.4"
"Berkshire Family & Indv Resources","46","1","47.33","74.10","8.9","91.1"
"Berkshire Hills Music Academy","33","3","24.18","6.71","71.8","28.2"
"Cardinal Cushing Centers","1","0","40.00","1.00","97.6","2.4"
"Catholic Charities  Worcester/ Mercy Centre","64","0","35.89","29.90","32.9","67.1"
"Center of Hope Foundation, Inc.","110","0","39.65","34.32","21.9","78.1"
"Community Options Inc.","33","0","71.47","33.02","76.6","22.1"
"Dr Franklin Perkins School","56","1","41.60","24.61","14.5","85.5"
"GAAMHA Inc","59","3","80.38","55.02","42.9","57.1"
"Goodwill Industries-Berkshires","3","0","94.33","","100.0","0.0"
"Goodwill Industries-Springfield","77","0","40.00","38.17","1.5","98.5"
"Horace Mann Educational Associates","117","0","40.25","21.54","31.0","69.0"
"Institute Of Professional Practice","17","2","54.27","","100.0","0.0"
"Justice Resource Institute","6","0","","40.00","0.0","100.0"
"Kennedy-Donovan Center","13","4","30.50","","100.0","0.0"
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","1","27.14","33.80","12.3","87.7"
"Meridian of Servicenet","86","4","57.71","55.23","28.2","71.8"
"Microtek","15","1","102.87","","100.0","0.0"
"Minute Man Arc","2","0","24.00","31.78","27.4","72.6"
"New England Business Associates","81","9","53.64","","91.6","0.0"
"Regional Employment Services","105","10","53.83","46.03","78.1","21.9"
"Rehabilitative Resources","4","0","52.67","","67.5","0.0"
"Riverside Industries","156","2","53.52","46.20","17.6","82.4"
"Seven Hills Family Services","187","1","62.16","26.76","47.2","52.8"
"SUNSHINE VILLAGE","160","2","29.28","51.71","7.7","92.3"
"The Arc of Opportunity","46","0","54.50","39.62","20.2","79.8"
"The Charles River Center/ Charles River ARC","1","0","","42.00","0.0","100.0"
"Valley Collaborative","1","0","","21.00","0.0","100.0"
"Valley Educational  Associates","81","0","","21.35","0.0","100.0"
"Viability","223","10","56.78","55.32","46.7","53.3"
"Work Inc.","35","3","52.02","","100.0","0.0"
"Work Opportunities Unlimited","29","7","57.17","16.00","98.7","1.3"
"Work Opportunity Center, Inc.","92","3","37.67","22.47","63.2","36.8"
"Central West","2193","77","51.16","39.97","41.8","57.6"
"State","6459","344","48.24","35.40","53.2","46.6"


Monthly Wages
"","Total Served (unduplicated count)",Number entered a new individual job in the previous 12 months,Mean wages -- individual competitive employment,Mean wages --group integrated employment, % earning above minimum wage -- individual competitive employment, % earning above minimum wage -- group integrated employment
"Aditus Inc.","25","0","503.10","320.53","87.5","30.0"
"Alternatives Unlimited","56","1","284.07","223.06","100.0","100.0"
"Amego Inc.","1","0","","","0","0"
"Autism Services Association","2","0","","232.45","0","0.0"
"Berkshire County ARC","120","9","528.62","401.40","100.0","21.1"
"Berkshire Family & Indv Resources","46","1","557.42","558.73","100.0","12.8"
"Berkshire Hills Music Academy","33","3","293.79","94.97","100.0","100.0"
"Cardinal Cushing Centers","1","0","440.00","11.00","100.0","100.0"
"Catholic Charities  Worcester/ Mercy Centre","64","0","402.48","103.78","100.0","0.0"
"Center of Hope Foundation, Inc.","110","0","463.35","206.35","100.0","8.4"
"Community Options Inc.","33","0","984.00","312.78","100.0","50.0"
"Dr Franklin Perkins School","56","1","457.60","282.20","100.0","100.0"
"GAAMHA Inc","59","3","921.92","565.35","100.0","54.5"
"Goodwill Industries-Berkshires","3","0","1037.74","","66.7","0"
"Goodwill Industries-Springfield","77","0","440.00","419.82","100.0","100.0"
"Horace Mann Educational Associates","117","0","447.49","153.42","100.0","60.8"
"Institute Of Professional Practice","17","2","516.25","","90.0","0"
"Justice Resource Institute","6","0","","440.00","0","100.0"
"Kennedy-Donovan Center","13","4","358.21","","100.0","0"
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","1","298.57","241.31","100.0","17.5"
"Meridian of Servicenet","86","4","694.81","619.88","100.0","100.0"
"Microtek","15","1","1168.27","","100.0","0"
"Minute Man Arc","2","0","264.00","349.52","100.0","100.0"
"New England Business Associates","81","9","606.74","","98.4","0"
"Regional Employment Services","105","10","658.98","442.36","92.5","72.7"
"Rehabilitative Resources","4","0","728.90","","100.0","0"
"Riverside Industries","156","2","656.50","511.24","100.0","100.0"
"Seven Hills Family Services","187","1","784.13","308.76","100.0","100.0"
"SUNSHINE VILLAGE","160","2","322.06","649.59","100.0","100.0"
"The Arc of Opportunity","46","0","655.24","319.11","100.0","23.7"
"The Charles River Center/ Charles River ARC","1","0","","65.14","0","0.0"
"Valley Collaborative","1","0","","231.00","0","100.0"
"Valley Educational  Associates","81","0","","235.74","0","100.0"
"Viability","223","10","637.67","421.39","93.9","56.3"
"Work Inc.","35","3","613.52","","100.0","0"
"Work Opportunities Unlimited","29","7","740.38","176.00","95.5","100.0"
"Work Opportunity Center, Inc.","92","3","488.35","53.30","100.0","0.0"
"Central West","2193","77","602.88","351.33","97.4","59.0"
"State","6459","344","570.22","320.27","97.5","71.5"


Self Employment Averages for a Three Month Period
"","Total Served (unduplicated count)",Number of individs. in self employment,Mean hours in self employment, Mean self employment earnings, Mean self employment expenses,Mean net self employment earnings
"Aditus Inc.","25","0","","","",""
"Alternatives Unlimited","56","0","","","",""
"Amego Inc.","1","0","","","",""
"Autism Services Association","2","0","","","",""
"Berkshire County ARC","120","0","","","",""
"Berkshire Family & Indv Resources","46","0","","","",""
"Berkshire Hills Music Academy","33","0","","","",""
"Cardinal Cushing Centers","1","0","","","",""
"Catholic Charities  Worcester/ Mercy Centre","64","0","","","",""
"Center of Hope Foundation, Inc.","110","0","","","",""
"Community Options Inc.","33","2","9.50","232.86","224.62","120.55"
"Dr Franklin Perkins School","56","0","","","",""
"GAAMHA Inc","59","0","","","",""
"Goodwill Industries-Berkshires","3","0","","","",""
"Goodwill Industries-Springfield","77","0","","","",""
"Horace Mann Educational Associates","117","0","","","",""
"Institute Of Professional Practice","17","0","","","",""
"Justice Resource Institute","6","0","","","",""
"Kennedy-Donovan Center","13","0","","","",""
"Life-Skills, Inc. (Southern Worcester County Rehab.)","50","0","","","",""
"Meridian of Servicenet","86","0","","","",""
"Microtek","15","0","","","",""
"Minute Man Arc","2","0","","","",""
"New England Business Associates","81","1","300.00","4629.00","4597.65","31.35"
"Regional Employment Services","105","0","","","",""
"Rehabilitative Resources","4","1","76.00","5416.69","2631.46","2785.23"
"Riverside Industries","156","0","","","",""
"Seven Hills Family Services","187","0","","","",""
"SUNSHINE VILLAGE","160","0","","","",""
"The Arc of Opportunity","46","0","","","",""
